generation,evaluated_individuals,candidates_size,min_fitness,max_fitness,avg_fitness,std_fitness,duration
0,161,161,522.58715346944,726.7908852577033,643.6750126319499,38.634945428412784,0.36964600000000036
1,327,488,522.58715346944,746.1724142730786,646.1957212864469,37.89585392345672,0.832713
2,532,1020,520.4428760852854,716.4096902603786,644.0160544973495,36.621321049390964,1.5090030000000003
3,706,1726,520.4428760852854,655.9426414632625,620.4260494720119,28.53727710710369,2.3607090000000004
4,740,2466,514.2592985824216,637.4740373916733,605.2576080608547,26.60492767213992,3.255837
5,676,3142,511.9663644109362,626.1988761771622,594.5492502284982,24.90081834573561,4.08888
6,687,3829,511.9663644109362,616.1832275392585,586.2384868457459,23.55920063246434,4.93357
7,711,4540,479.085778145168,608.6095567897173,578.7040433633556,22.60049959202603,5.808337999999999
8,657,3762,477.30984503887123,616.4805636595755,585.1412693946506,24.69111164379514,6.641097
9,819,4581,477.30984503887123,607.0390331647468,576.8986135222694,23.03476827766475,7.620293
10,793,4578,477.30984503887123,603.037953469174,574.826996012874,22.399029181091596,8.585497
11,820,4786,458.54648914794376,597.8026423728478,570.3956737695104,22.28064110831102,9.611549
12,790,4780,458.54648914794376,593.4371421606718,566.4364014972372,21.524384233333507,10.57192
13,800,4808,458.54648914794376,589.1020799811174,563.2869086503531,21.02198613934226,11.580259999999999
14,714,4806,458.54648914794376,586.5368393162416,560.9775081721533,20.584832868012224,12.464497999999999
15,716,4827,458.54648914794376,583.2587878386345,558.5159421926468,19.887354516112364,13.360558
16,728,4834,458.54648914794376,579.0632308817039,555.018670425851,19.230904118849878,14.30236
17,688,4831,458.54648914794376,575.236100220717,552.0522569095098,18.740788294863055,15.176493999999998
18,697,4819,458.54648914794376,572.2066188809027,549.7731912529414,18.342249005296754,16.089719
19,671,4817,458.54648914794376,569.9023135057382,547.4687076834194,18.134789990336348,16.950693
20,710,4813,458.54648914794376,567.0881660483691,545.3109177109185,17.68563092088135,17.879029
21,676,4839,458.54648914794376,564.5909115796377,542.6120154407762,17.248618407087932,18.748307999999998
22,708,4825,448.22423767122166,562.0356141689514,540.3741324368733,17.149465060332307,19.673485
23,669,4842,448.22423767122166,560.0604508204318,538.1589201318942,17.297987188348685,20.536839
24,605,4844,448.22423767122166,557.8512352981028,536.1669565586384,17.350984273651893,21.359674
25,643,4816,448.22423767122166,555.9177638541656,534.4124751639081,17.04187732621387,22.202119
26,627,4840,448.22423767122166,553.6942401729821,532.7304464189622,16.987544043892765,23.05356
27,704,4832,448.22423767122166,551.3704670227337,530.3596521606124,17.297709635529753,23.96334
28,627,4841,423.86502677244545,549.302310225921,528.5096710147877,17.33342307355733,24.819563
29,593,4835,423.86502677244545,547.825103842435,526.9052149561664,17.093238721354506,25.61211
30,617,4844,423.86502677244545,545.6630747984943,524.5023956375456,17.364701860519,26.457901
31,664,4830,423.86502677244545,543.4305843293032,522.3167108617355,17.53436412520573,27.334194
32,654,4839,423.86502677244545,541.488198962455,520.2400258702424,17.678341295123772,28.231030999999998
33,604,4852,423.86502677244545,539.548503347004,518.5009701458476,17.96791261982464,29.043836
34,606,4850,423.86502677244545,537.6956525937752,516.858109559106,17.938494295217453,29.887403000000003
35,572,4874,423.86502677244545,535.6903980405837,515.1459890095032,17.97093212561504,30.673272
36,614,4850,423.86502677244545,533.7987699349457,513.4177717639108,18.264023789361904,31.491825000000002
37,597,4865,423.86502677244545,532.3003288305674,511.74985826936825,18.257141652199444,32.326808
38,639,4854,423.86502677244545,529.8995890090578,509.78729040300306,18.302940452172468,33.176182000000004
39,639,4833,423.86502677244545,528.1011021195841,507.880341843966,18.565671660808228,34.061515
40,605,4867,423.86502677244545,526.5860279490737,506.046046108125,18.801462313768326,34.884759
41,632,4843,423.86502677244545,524.8681342377799,504.0556917398784,18.937172045874885,35.730556
42,621,4855,422.12729578494793,522.58715346944,501.42212138910855,19.33927136420387,36.600061000000004
43,663,4831,422.12729578494793,520.6054516598913,498.9774125200768,19.413877182265036,37.48756
44,625,4848,422.12729578494793,519.1166589721431,496.74417008424024,19.512422480891818,38.32905
45,598,4853,422.12729578494793,517.3594654983867,495.03673046642893,19.223277906349782,39.172408000000004
46,610,4839,422.12729578494793,515.3708073067122,493.1997809273557,18.88031345144302,39.99907
47,658,4844,422.12729578494793,513.3215733393073,491.5968163013649,18.67649224435701,40.905334
48,656,4831,422.12729578494793,511.5634170075881,489.7961165548421,18.207568738996535,41.783232000000005
49,681,4843,422.12729578494793,509.4838382602943,487.9333021778409,18.007544438325457,42.718862
50,651,4837,422.12729578494793,507.5018694889128,486.35273787668905,17.825201180639567,43.594301
51,639,4834,422.12729578494793,505.6308637837606,484.5737442180805,17.76149519502622,44.484994
52,637,4821,422.12729578494793,504.21834850417565,482.8221294865458,17.683269235828263,45.352493
53,663,4819,421.0155641679175,503.14006930658735,481.3135292714418,17.393634481990098,46.270305
54,635,4851,421.0155641679175,501.16757729086964,479.597687192297,16.905835127866695,47.132486
55,684,4805,421.0155641679175,499.42942021123923,477.90957028569096,16.765351363378716,48.048337000000004
56,650,4823,421.0155641679175,497.8067817483629,476.44798372385907,16.512017579666495,48.962859
57,661,4824,415.97819373366343,495.1304481481756,474.6755873161567,16.319821652131132,49.855873
58,641,4837,415.97819373366343,493.4051046701407,473.1772716518733,15.96267736987711,50.77708500000001
59,628,4807,415.97819373366343,491.646190602605,471.5808456705407,15.623839029099916,51.661456
60,624,4837,408.83449642598663,489.84583825109416,470.2346707770853,15.322974038556234,52.543044
61,677,4821,407.5986255933279,488.257573991392,468.8676035818768,14.98891865726688,53.499042
62,635,4842,407.5986255933279,486.5495980846813,467.6721172819278,14.60376979026844,54.374686000000004
63,630,4803,407.5986255933279,485.7455125453376,466.91531167054524,14.40357614316845,55.281578
64,615,4845,404.3593018019061,484.0744894321035,465.6731847047119,14.23223842143512,56.157697000000006
65,655,4816,404.3593018019061,482.5510415312058,464.52008444222713,13.998640584685353,57.089501000000006
66,737,4769,404.3593018019061,481.09000656932415,463.5623985100143,13.620486486569613,58.090752
67,686,4802,404.3593018019061,480.386087137687,462.596962800816,13.492799794851637,59.069653
68,632,4805,404.3593018019061,479.2215428847835,461.74693183773184,13.21344071988492,59.958540000000006
69,670,4813,404.3593018019061,478.24920649234883,461.1362284640572,12.913511611548204,60.896321
70,731,4758,404.3593018019061,477.10592164923963,460.3407410504494,12.71433158228434,61.916581
71,627,4817,404.3593018019061,476.22298359926873,459.59560198599615,12.59326086971474,62.805457
72,674,4808,404.3593018019061,475.3977457537528,458.84455419784814,12.439827692378685,63.765471
73,656,4808,404.3593018019061,474.36677851505465,458.13895286378005,12.257513683877034,64.68343
74,669,4769,404.3593018019061,473.26767153667515,457.52026873794506,11.975390056366562,65.668953
75,674,4786,404.3593018019061,472.0240776808579,456.84705232246904,11.84808275518793,66.60377799999999
76,658,4800,404.3593018019061,471.04876466016816,456.099146222117,11.687387870462755,67.51970399999999
77,671,4787,404.3593018019061,470.2604570701056,455.5896677079417,11.497499529224614,68.470862
78,689,4785,404.3593018019061,469.2982535114164,455.01084398152506,11.252259122806414,69.428286
79,634,4793,404.3593018019061,468.57108964363704,454.5437827673689,11.064006076509346,70.36783
80,654,4795,404.3593018019061,468.2267128230371,454.15675151903326,10.93492797211368,71.30341899999999
81,625,4821,404.3593018019061,467.6767288660172,453.743127152569,10.83961939875912,72.21678899999999
82,682,4776,404.3593018019061,466.76637315296733,453.2639260782359,10.809546917860631,73.162463
83,684,4806,404.3593018019061,466.02873949110324,452.7181660947801,10.685265847278352,74.100511
84,725,4773,402.84934681063885,465.5726277791429,452.13911695181247,10.698489992863017,75.13097499999999
85,617,4805,402.84934681063885,465.1108743707073,451.70785253862215,10.72254899984651,76.00488299999999
86,640,4800,402.84934681063885,464.52758094489326,451.1289822726339,10.765495413407974,76.93747599999999
87,722,4766,402.84934681063885,464.2105075965602,450.5690699443749,10.704272189599198,77.952985
88,689,4789,402.84934681063885,463.76764652260164,450.2365778900951,10.591107869423224,78.956088
89,614,4820,402.84934681063885,463.3781665426066,449.9175098617348,10.512940519050678,79.84670899999999
90,652,4792,402.84934681063885,462.6299914800036,449.29691010414035,10.45981979944648,80.795603
91,691,4791,402.84934681063885,462.0069685558649,448.7598334454629,10.434924427146468,81.76046
92,626,4778,402.84934681063885,461.4140635561167,448.29600336825,10.343505429691705,82.697503
93,631,4786,402.84934681063885,460.63180383183794,447.83109662660803,10.189355096212713,83.591589
94,616,4800,402.84934681063885,460.0444649796314,447.48205546591544,10.05975480726663,84.46753
95,607,4808,402.84934681063885,459.2926663944675,447.02261495512084,9.998471853328258,85.372727
96,632,4834,401.103791189131,458.8438399273993,446.6625555769991,10.016917616719743,86.288439
97,620,4803,401.103791189131,458.35070452753405,446.32714693088366,9.973440141121664,87.22397699999999
98,575,4832,401.103791189131,457.8367714737773,445.94296636917073,10.101531053588452,88.07080599999999
99,632,4807,401.103791189131,457.36842902735543,445.3570173319967,10.367577376284471,89.002972
